ID,Period,Match clock,Video time (s),Action,Team,Player,Second player,Successful,X (m),Y (m),End X (m),End Y (m),Norm X,Norm Y,Norm end X,Norm end Y,Goal X (m),Goal Y (m),Miss,On target,Pass outcome,xG,xT
0d3a117d-6072-483c-8d3d-5e54d21043e3,2nd half,0:00,0.46,Pass,Team Sempu,Krzysiek,,1,52.84,33.87,63.16,25.62,52.16,34.13,41.84,42.38,,,,,,,-0.002
7205c1b7-38be-4e8c-a2e9-ba7df05a0f06,2nd half,0:03,3.66,Pass,Team Sempu,Bartek,,1,63.16,25.96,78.63,21.15,41.84,42.04,26.37,46.85,,,,,,,-0.002
25c38d2c-bfb7-4521-9c2e-51f7508cf5dc,2nd half,0:05,5.72,Pass,Team Sempu,Łukasz,,1,79.32,21.49,82.07,28.37,25.68,46.51,22.93,39.63,,,,,,,0
37c2671b-d536-409c-81c5-6ab701ede5d6,2nd half,0:11,11.11,Pass,Team Sempu,Mateusz (?),,1,82.41,28.03,77.6,44.18,22.59,39.97,27.4,23.82,,,,,,,0.001
47edf337-bad5-47aa-acf2-5a603743ecd6,2nd half,0:15,15.62,Pass,Team Sempu,Sempu,,1,78.28,44.18,90.32,33.53,26.72,23.82,14.68,34.47,,,,,,,0
9182ac54-dd79-4aca-9b62-bf673f4e5f7f,2nd half,0:18,18.89,Pass,Team Sempu,Kroma,,1,90.32,33.53,80.35,7.4,14.68,34.47,24.65,60.6,,,,,,,-0.002
74b8b59a-6a37-4a82-848e-c59aa9c87d41,2nd half,0:29,29.24,Pass,Team Sempu,Łukasz,Dawid,0,63.89,2.62,45.1,10.02,41.11,65.38,59.9,57.98,,,,,intercepted,,
6f4f1d61-3312-4c89-96f3-8ce5f755e3ea,2nd half,0:31,31.44,Pass,Team Matto,Marek,,1,44.94,18.06,26.72,22.87,44.94,18.06,26.72,22.87,,,,,,,-0.003
1de793d7-31e4-4721-803a-b54b2096f17a,2nd half,0:34,34.6,Pass,Team Matto,Krystian,,1,27.4,24.59,43.91,20.12,27.4,24.59,43.91,20.12,,,,,,,0.003
6089ab9a-d635-4a90-862b-2bd017e70997,2nd half,0:37,37.18,Pass,Team Matto,Matto,,1,44.59,20.46,61.44,20.12,44.59,20.46,61.44,20.12,,,,,,,0.005
3068bba5-9262-4a62-9df1-507758eca8cd,2nd half,0:38,38.39,Pass,Team Matto,Michał W,Sempu,0,61.44,20.46,59.38,26.65,61.44,20.46,59.38,26.65,,,,,intercepted,,
8dfa1c99-273a-4d60-adf4-a44d485f07e0,2nd half,0:40,40.2,Pass,Team Sempu,Sempu,,1,60.41,29.06,59.72,14.96,44.59,38.94,45.28,53.04,,,,,,,-0.001
